sku,name,barcode,family_id,family,id_group,group,Esistenza,Scarto,stock_quantity,Esercizio,Listino1,Listino2,Listino3
000000000240538,"LIME JUICE CORDIAL NATYS LT.1",8009760011068,13,LIQUORI,004,CONDIMENTI-GUARNITORI-OLIO,"111,000",2,"109,000",2021,"6,20500","6,83500","3,10000"
000000000009707,"AMARO MONTENEGRO CL. 70XXXX ///",8000330014458,10,AMARO,010,"AMARI E LIQUORI","334,000",2,"332,000",2021,"10,30500","13,85500","9,55300"
000000000234829,"VINO SPUMANTE BRUT CUVEE PINOT CHARDONNAY CINZANO CL.75",8000020000181,00118,PROSECCO/SPUMANTE,033,BOLLICINE,"428,000",2,"426,000",2021,"4,57500","5,03500","3,43400"
000000000235605,"MIDORI LT. 1",080686933182,13,LIQUORI,010,"AMARI E LIQUORI","16,000",2,"14,000",2021,"17,56500","19,32500","13,20000"
000000000235729,"RUM MYERS'S CL. 70",087000652354,8,RUM,032,DISTILLATI,"16,000",2,"14,000",2021,"13,83500","15,22500","10,40000"
000000000235752,"RICARD LT. 1",3163937010003,13,LIQUORI,010,"AMARI E LIQUORI","9,000",2,"7,000",2021,"17,42500","19,17500","13,10000"
000000000236330,"BOLS PEPPER MINT WHITE  CL.70 XXXXX ///",8716000965394,13,LIQUORI,010,"AMARI E LIQUORI","13,000",2,"11,000",2021,"10,44500","11,49500","6,96000"
000000000236425,"WHISKY JAMESON  LT.1 ///",5011007003227,9,WHISKY,032,DISTILLATI,"36,000",2,"34,000",2021,"20,10500","22,12500","15,11000"
000000000236509,"MARASCHINO SAN GIORGIO LT.2",8007525102990,13,LIQUORI,010,"AMARI E LIQUORI","6,000",2,"4,000",2021,"11,32500","12,46500","8,51000"
000000000240700,"CHAMPAGNE KRUG CL.150 12° C/ASTUCCIO",3258064006262,00116,CHAMPAGNE,033,BOLLICINE,"1,000",0,"1,000",2021,"461,48500","507,62500","288,42000"
000000000240704,"CHAMPAGNE MOET & CHANDON LT. 1,5 C/ASTUCCIO (ROSSO) XXXX ///",3185370011010,00116,CHAMPAGNE,033,BOLLICINE,"0,000",2,"-2,000",2021,"96,00500","105,61500","64,00000"
000000000240706,"CHAMPAGNE RUINART DE RUINART CL.75 C/ASTUCCIO XXX",3185370288672,00116,CHAMPAGNE,033,BOLLICINE,"10,000",0,"10,000",2021,"49,95500","54,95500","36,95000"
000000000240889,"VINO MOSCATO D'ASTI DOCG I VIGNAIOLI DI S.STEFANO CL.75",8033254937527,00118,PROSECCO/SPUMANTE,033,BOLLICINE,"22,000",2,"20,000",2021,"10,77500","11,85500","8,10000"
000000000240891,"CHAMPAGNE DELAMOTTE BRUT CL.75 XXX",3418760000685,00116,CHAMPAGNE,033,BOLLICINE,"12,000",0,"12,000",2021,"32,92500","36,22500","27,92000"
000000000241133,"VOV LIQUORE ALL'UOVO CL.70 ///",8002095761783,13,LIQUORI,010,"AMARI E LIQUORI","19,000",2,"17,000",2021,"12,97500","14,27500","9,75000"
000000000241176,"LIQUORE AL SAMBUCO SAINT GERMAIN CL.70 ///",5014271796161,13,LIQUORI,010,"AMARI E LIQUORI","10,000",2,"8,000",2021,"30,71500","33,79500","23,09000"
000000000241335,"CHAMPAGNE PERRIER JOUET BELLE EPOQUE CL.75 12.5°  C/ASTUCCIO",852832105220,00116,CHAMPAGNE,033,BOLLICINE,"0,000",0,"0,000",2021,"137,24500","150,97500","91,49300"
000000000236770,"GRAPPA RAMETZ CHARDONNAY CL.70",8016683013413,5,GRAPPA,032,DISTILLATI,"9,000",2,"7,000",2021,"11,94500","13,14500","8,98000"
000000000236780,"CREOLA BELLINI LT.1",8007525121106,13,LIQUORI,010,"AMARI E LIQUORI","6,000",2,"4,000",2021,"7,00500","7,71500","5,26000"
000000000236905,"BOLS CREME MINT VERDE CL.70 ///",8716000965417,13,LIQUORI,010,"AMARI E LIQUORI","12,000",2,"10,000",2021,"10,44500","11,49500","6,96000"
000000000237120,"MARTINI ROSATO LT.1 ///",3011932000843,3,"APERITIVO ALCOLICO",013,APERITIVI,"13,000",2,"11,000",2021,"6,96500","7,66500","5,23200"
000000000237706,"BOLS CREME DE BANANES CL.70 XXX ///",8716000965004,13,LIQUORI,010,"AMARI E LIQUORI","9,000",2,"7,000",2021,"9,68500","10,65500","6,45000"
000000000237897,"VINO RAVELLO BIANCO 2020 CL.75 13,5° MARISA CUOMO",8033829280515,14,"VINO BIANCO",009,VINI,"4,000",2,"2,000",2021,"13,30500","14,64500","10,00000"
000000000238553,"FABBRI TOPPING CIOCCOLATO GR.950 ///",80021674,00121,TOPPING,011,SCIROPPI/TOPPING,"15,000",2,"13,000",2021,"7,84500","8,62500","5,22000"
000000000238555,"FABBRI TOPPING FRUTTI DI BOSCO GR.950",80021759,00121,TOPPING,011,SCIROPPI/TOPPING,"5,000",2,"3,000",2021,"10,15500","11,17500","6,76700"
