Codice;Descrizione1;BarCode;IDFamiglia;Famiglia;IDGruppo;Gruppo;Esistenza;Scarto;EsistenzaNetta;Esercizio;Listino 1;Listino2;ListinoLM
000000000239813;VINO MOSCATO D'ASTI DOCG BIANCOSPINO CL.75 4,5° LA SPINETTA ///;8022252211715;00118;PROSECCO/SPUMANTE;033;BOLLICINE;66,000;2;64,000;2021;8,31500;9,15500;6,25000
000000000239981;WHISKY PORT ELLEN 37Y SR CL.70 LIMITED EDITION XXXXX ///;5000281031835;9;WHISKY;032;DISTILLATI;1,000;0;1,000;2021;3852,81500;4238,10500;2140,45000
000000000239981;WHISKY PORT ELLEN 37Y SR CL.70 LIMITED EDITION XXXXX ///;5000281046044;9;WHISKY;032;DISTILLATI;1,000;0;1,000;2021;3852,81500;4238,10500;2140,45000
000000000240052;MARZADRO GRAPPA CHARDONNAY CL.70 GIARE;8004009000094;5;GRAPPA;032;DISTILLATI;8,000;0;8,000;2021;36,73500;40,41500;24,48700
000000000240208;RUM EL DORADO 21 Y.CL.70;5014396212034;8;RUM;032;DISTILLATI;4,000;2;2,000;2021;100,18500;110,19500;75,33000
000000000240236;ROSSO ANTICO LT.1 ///;8000060410155;13;LIQUORI;010;AMARI E LIQUORI;0,000;2;-2,000;2021;15,69500;17,27500;11,80000
000000000240236;ROSSO ANTICO LT.1 ///;80541790;13;LIQUORI;010;AMARI E LIQUORI;0,000;2;-2,000;2021;15,69500;17,27500;11,80000
000000000240262;RUM DIPLOMATICO RISERVA EXLUSIVA CL.70;7594003624927;8;RUM;032;DISTILLATI;5,000;2;3,000;2021;33,10500;36,42500;24,89000
000000000240287;TRENTO DOC BRUT 12.5° CL.75 CASATA MONFORT;8026900102004;00119;FRANCIACORTA;033;BOLLICINE;1,000;2;-1,000;2021;9,98500;10,98500;7,50000
000000000240394;MARZADRO LIQUORE MOLTO FICO CL.70;80344186;13;LIQUORI;010;AMARI E LIQUORI;2,000;2;0,000;2021;11,97500;13,17500;7,97640
000000000247812;VINO CHABLIS 12,5° CL.75 VENERABLES;3332418000608;14;VINO BIANCO;009;VINI;12,000;2;10,000;2021;20,08500;22,09500;15,10000
000000000247886;VINO NERO DI TROIA IGP PUGLIA SPIAVENTO CL.75 COPPADORO;8054392880148;15;VINO ROSSO;009;VINI;91,000;0;91,000;2021;4,40500;4,85500;1,95000
000000000247887;VINO NERO DI TROIA IGP PUGLIA SPIAVENTO CL.150 COPPADORO;8054392880520;15;VINO ROSSO;009;VINI;1,000;2;-1,000;2021;8,90500;9,80500;3,80000
000000000247888;VINO PRIMITIVO IGP PUGLIA SPIAVENTO 13,5° CL.150 COPPADORO;8054392880452;15;VINO ROSSO;009;VINI;1,000;2;-1,000;2021;8,90500;9,80500;3,80000
000000000247897;VINO BOMBINO IGP PUGLIA CINQUEVIE 13° CL.75 COPPADORO;8054392880179;14;VINO BIANCO;009;VINI;49,000;2;47,000;2021;4,40500;4,85500;1,95000
000000000247898;AMARO JAGERMEISTER MANIFEST LT. 1 ///;4067700019431;10;AMARO;010;AMARI E LIQUORI;9,000;0;9,000;2021;39,43500;43,38500;29,64400
000000000247932;VINO PRIMITIVO 2017 IGP PUGLIA CINQUEVIE 13,5° CL.75 COPPADORO;8054392880209;15;VINO ROSSO;009;VINI;68,000;2;66,000;2021;4,40500;4,85500;1,95000
000000000248090;BIRRA SETTEMBRE 7,2° CL.33 DUCATO;;18;BIRRA SPECIALE/ARTIGIANALE;014;BIRRE;1,000;2;-1,000;2021;3,97500;4,37500;2,26600
000000000248186;BIRRA CERES STRONG ALE 7,7° CL.33 LATTINA ///;5741000154717;18;BIRRA SPECIALE/ARTIGIANALE;014;BIRRE;192,000;2;190,000;2021;1,49500;1,65500;0,99600
000000000248186;BIRRA CERES STRONG ALE 7,7° CL.33 LATTINA ///;5741000157848;18;BIRRA SPECIALE/ARTIGIANALE;014;BIRRE;192,000;2;190,000;2021;1,49500;1,65500;0,99600
000000000248187;BIRRA CERES MOSAIC IPA 5,7° CL.33 LATTINA ///;5741000160039;18;BIRRA SPECIALE/ARTIGIANALE;014;BIRRE;-12,000;2;-14,000;2021;1,40500;1,55500;0,93400
000000000248187;BIRRA CERES MOSAIC IPA 5,7° CL.33 LATTINA ///;5741000160046;18;BIRRA SPECIALE/ARTIGIANALE;014;BIRRE;-12,000;2;-14,000;2021;1,40500;1,55500;0,93400
000000000248187;BIRRA CERES MOSAIC IPA 5,7° CL.33 LATTINA ///;5741000166000;18;BIRRA SPECIALE/ARTIGIANALE;014;BIRRE;-12,000;2;-14,000;2021;1,40500;1,55500;0,93400
000000000248207;VINO TERTULIA MONTEPULCIANO D'ABRUZZO DOC 2019 CL.75 12.5° SAVINI;8024526000100;15;VINO ROSSO;009;VINI;183,000;2;181,000;2021;3,22500;3,55500;1,84000
000000000248210;VINO TERTULIA PASSERINA D'ABRUZZO DOC 2019 CL.75 12.5°  SAVINI;8024526000407;14;VINO BIANCO;009;VINI;752,000;2;750,000;2021;3,22500;3,55500;1,84000
000000000248278;SAGATIBA CRISTALINA CACHACA PURA CL.100 ///;7896010000085;00113;MEZCAL/PISCO/CACHACA;032;DISTILLATI;14,000;2;12,000;2021;14,21500;15,64500;9,47300
000000000248282;VINO GRECHETTO DOC 2019 CLARA VINEA CL.75 13,5° NAPOLINI ///;8024767100041;14;VINO BIANCO;009;VINI;13,000;2;11,000;2021;3,75500;4,13500;2,50000
000000000248303;BIRRA FLYNG DUTCHMAN MORE COMPLICATED THAN YOUR GIRLFRIEND STOUT CL.33 TFD BREWRISE;6430060520028;18;BIRRA SPECIALE/ARTIGIANALE;014;BIRRE;18,000;2;16,000;2021;4,16500;4,58500;2,77100
000000000248304;BIRRA FOUNDERS KBS 2019 ML.355 BREWRISE;642860300328;18;BIRRA SPECIALE/ARTIGIANALE;014;BIRRE;203,000;2;201,000;2021;5,19500;5,72500;3,45800
000000000248305;BIRRA PETRICOR CL.33 NOMADA BREWRISE ///;8437016061107;18;BIRRA SPECIALE/ARTIGIANALE;014;BIRRE;37,000;2;35,000;2021;2,69500;2,97500;1,79100
000000000248393;BUMBU RUM XO CL.70 40° ///;813497006154;8;RUM;032;DISTILLATI;-4,000;2;-6,000;2021;39,67500;43,64500;22,66700
000000000248413;VINO RIBOLLA GIALLA CL.75 LIVIO FELLUGA;8030421004815;14;VINO BIANCO;009;VINI;19,000;2;17,000;2021;14,63500;16,10500;11,00000
000000000248414;VINO SHARIS BIANCO CL.75 LIVIO FELLUGA;8030421004525;14;VINO BIANCO;009;VINI;89,000;2;87,000;2021;10,77500;11,85500;8,10000
000000000248427;VINO FRANCIACORTA SATEN BRUT DOCG CL.75 FERGHETTINA;8033576200026;00119;FRANCIACORTA;033;BOLLICINE;19,000;2;17,000;2021;21,41500;23,56500;16,10000
000000000243164;GIN OLDTOM HAYMANS CL.70;5021692000340;11;GIN;032;DISTILLATI;9,000;0;9,000;2021;23,55500;25,91500;15,70000
