ID,COD,Nome
11841,000000000248678,"Vino Franciacorta Dosaggio Zero Docg Cl.75 Essence Nature Antica Fratta"
11842,000000000247814,"Spumante Dolce Cinzano Sweet Edition Cl.75"
11843,000000000245759,"Champagne Moet & Chandon Ice Imperial Cl.75 12.5° Xxx"
11844,000000000246123,"Vino Spumante Bianco Extra Dry Amaluna Cl.75 Due Palme"
11845,000000000245577,"Champagne Mumm Brut Millesime' 2004 Cl.75 Con Astuccio"
11846,000000000245506,"Champagne Billecart-Salmon Rose' Cl.75 12° Xxx"
11847,000000000245508,"Champagne Laurent Perrier Cuvee' Rose' Cl.75 12° Xxx"
11869,000000000249340,"Gin Beefeater London Garden 40° Cl.70"
11871,000000000242821,"Silent Pool Gin 43 Cl.70 (Francoli)"
11872,000000000244718,"Cognac Grand Champagne Nr.20 Reserve Speciale Ragnaud-Sabourin 41° Cl.70"
11875,000000000250468,"Cognac Grande Champagne Frapin Fontpinot Xo 41°"
11878,000000000243476,"Fee Brothers 1864 Lemon Bitters 150 Ml."
11879,000000000243477,"Fee Brothers 1864 Grapefruit Bitters 150 Ml."
11880,000000000243521,"Vino Pinot Grigio Ramoro Cl.75 13° Orsogna"
11882,000000000243797,"Vino Riesling Cl.75 La Vis"
11885,000000000237899,"Vino Anarchia Costituzionale Cl.75 Vigneti Massa"
